stock,url,title,investment,date,price,position
성일하이텍,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=365340,3Q24 Review: 동률 상승 전환 기대,유진투자증권,2024.11.25,"67,000원",매수
제주항공,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=089590,[NDR 후기] 신기재 확보 열쇠,LS증권,2024.11.25,"15,000원",매수
LG,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=003550,주주환원 강화,SK증권,2024.11.25,"90,000원",매수
LG유플러스,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=032640,저점을 지난 실 과 추 주주환원 능성,SK증권,2024.11.25,"13,500원",매수
넷마블,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=251270,진 한 레벨업은 2025년에,유안타증권,2024.11.25,"70,000원",매수
제이엘케이,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=322510,"악재 반영 완료, 미국 진출 모멘텀 부각 전망",유안타증권,2024.11.25,-원,-
에코프로비엠,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=247540,확실한 성장동력을 기다리는 중,상상인증권,2024.11.25,"140,000원",보유
빙그레,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=005180,지주사 전환 및 자사주 소각 Comment,메리츠증권,2024.11.25,-원,-
샤페론,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=378800,염증복합체 억제제 ？ 나노맵 원천기술 보유 기업 ,교보증권,2024.11.25,-원,-
엘앤씨바이오,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=290650,다 오는 터닝포인트 ,한국IR협의회,2024.11.25,-원,매수
디앤디파마텍,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=347850,GLP-1 계열 비만 치료제의 라이징 스타 ,한국IR협의회,2024.11.25,-원,-
롯데이노베이트,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=286940,신규 사업 확대와 주주환원 책 극 으로 추진 중 ,한국IR협의회,2024.11.25,-원,-
비에이치아이,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=083650,설레는 마음으로 기다리는 2025 년,메리츠증권,2024.11.22,-원,-
텔레칩스,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=054450,고객 다변화 기대되는 비메모리 반도체 토종 기업 ,한국IR협의회,2024.11.22,-원,매수
어보브반도체,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=102120,국내 최고의 마이크로 컨트롤러 유닛 공급사 ,한국IR협의회,2024.11.22,-원,-
SKC,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=011790,"미국 NAPMP 보조금 1,400 억원 지급 대상 선 ",메리츠증권,2024.11.22,-원,-
대명에너지,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=389260,"해상풍력, ESS 기대되는 25년",SK증권,2024.11.22,"18,000원",매수
SGC E&C,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=016250,[NDR 후기] 곧 달라질 그림,LS증권,2024.11.22,-원,-
SK스퀘어,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=402340,"자사주 소각 그리고 매입, 목표주 도 상향",SK증권,2024.11.22,"105,000원",매수
SK하이닉스,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=000660,NAND 경쟁 심화 예상,키움증권,2024.11.22,"210,000원",매수
제이앤티씨,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=204270,3Q24 Review: 신제품 출시 수혜 기대,유진투자증권,2024.11.21,"26,000원",매수
아이에스동서,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=010780,NDR 후기] 대형 개발사업 시화 기대,LS증권,2024.11.21,"30,000원",매수
뷰노,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=338220,"미뤄졌을 뿐, 목표를 위해 나아갈 뿐",키움증권,2024.11.21,43000원,매수(유지)
로보티즈,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=108490,MIT 와 공동개발 뉴스 Comment,메리츠증권,2024.11.20,-원,매수
CJ제일제당,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=097950,바이오 사업부 매각 관련 Comment,키움증권,2024.11.20,-원,-
현대모비스,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=012330,CEO Investor Day 후기,LS증권,2024.11.20,"310,000원",매수
펄어비스,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=263750,시연을 통해 얻은 성과,키움증권,2024.11.20,57000원,매수
에스피소프트,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=443670,본 게임은 25년부터,IBK투자증권,2024.11.19,-원,-
비나텍,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=126340,3Q24 Review: 시장기대치 하회 MEA 판 개선에 주목,유진투자증권,2024.11.19,"50,000원",매수
에스앤디,http://www.paxnet.co.kr/stock/analysis/main?wlog_rpt=list_jm&abbrSymbol=260970,3Q24 Review: 여전한 실 의 K-Food 수혜,유진투자증권,2024.11.19,-원,-
