Rank,Title,Author,Price
1,소년이 온다,한강 저,"13,500"
2,채식주의자,한강 저,"13,500"
3,우리는 사랑 안에 살고 있다,"유혜주, 조정연 저","17,820"
4,작별하지 않는다,한강 저,"15,120"
5,트럼프 2.0 시대,박종훈 저,"18,000"
6,서랍에 저녁을 넣어 두었다,한강 저,"10,800"
7,하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저,"21,420"
8,트렌드 코리아 2025,"김난도, 전미영, 최지혜, 권정윤, 한다혜 저 외 5명
                                        
정보 더 보기/감추기



김난도
전미영
최지혜
권정윤
한다혜
이혜원
이준영
이향은
추예린
전다현","18,000"
9,흰,한강 저/최진혁 사진,"13,050"
10,넥서스,유발 하라리 저/김명주 역,"25,020"
11,희랍어 시간,한강 저,"11,700"
12,지박소년 하나코 군 22 트리플 특장판,아이다이로 글그림/장혜영 역,"5,400"
13,김미경의 딥마인드,김미경 저,"16,200"
14,인생의 의미,토마스 힐란드 에릭센 저/이영래 역,"16,920"
15,일의 감각,조수용 저,"19,800"
16,흔한남매 과학 탐험대 12 공룡과 화석,"흔한남매 원저/김언정, 송은경 글/임혜영 그림/김희목 기획 외 3명
                                        
정보 더 보기/감추기



흔한남매
김언정
송은경
임혜영
김희목
정현철
권경아
최진수","13,320"
17,어른의 행복은 조용하다,태수 저,"16,020"
18,부모의 어휘력,김종원 저,"17,100"
19,성적을 부탁해 티처스,"정승제, 조정식, 〈성적을 부탁해 티처스〉  제작팀 저","19,800"
20,퓨처 셀프 30만 부 기념 스페셜 에디션,벤저민 하디 저/최은아 역,"19,800"
21,모순,양귀자 저,"11,700"
22,세이노의 가르침,세이노(SayNo) 저,"6,480"
23,나의 인생만사 답사기,유홍준 저,"19,800"
24,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS 저,"17,820"
